chiral gauge theory	chiral gauge theory;Chiral gauge theories;$\chi$GT	main entry; chapter-level
chiral gauge theory!non-gauge-invariant formulation	Non-gauge invariant formulation;Non-gauge-invariant formulation;break gauge invariance but in a way such that it is restored	covers gauge-fixing and two-lattice approaches
chiral gauge theory!gauge-invariant formulation	Gauge-invariant formulation;gauges the exact lattice chiral symmetry	Luscher construction
chiral gauge theory!boundary formulation	Chiral gauge theory as boundary theory;boundary theory;D-dimensional boundary	see also domain-wall fermions
Standard Model!non-perturbative definition	define the SM outside of perturbation theory;what we mean by the SM
chiral anomaly	Chiral anomaly implies no exact chiral invariance	see also anomaly
anomaly!covariant gauge	covariant gauge anomaly;{\cal A}^{a}(x)
anomaly!Witten	Witten anomaly;Witten' anomaly	global obstruction, SU(2)
anomaly cancellation	anomaly-free fermion content;anomaly-cancelling fermionic representation
Wilson term	The Wilson term breaks gauge invariance;regular Wilson term removing doublers;Wilson term	breaks chiral and (chiral-gauge) gauge symmetry
fermion doubling	doubler modes;doublers;m_{\text { doubler}}	see also Wilson term
Ginsparg-Wilson relation	GW relation;GW fermion;GW-relation fermion;satisfies GW relation	anchors in ch19 and ch21 (blocked propagator)
chiral symmetry!exact lattice	L\"uscher's exact lattice chiral symmetry;exact lattice chiral symmetry;\hat{\gamma}_{5}=\gamma_{s}(1-a D)	see also Ginsparg-Wilson relation
gauge fixing!lattice	Gauge fixing allows the possibility;gauge-fixing term;standard complete gauge fixings	see also Neuberger's theorem
counterterms	counter-terms;counterterms;fine-tuned;counterterm	tuning in both chiral-gauge and SUSY contexts
gauge field!longitudinal modes	longitudinal mode of gauge field;longitudinal modes decouple;longitudinal modes coupling to fermions
Neuberger's theorem	Neuberger's theorem	partition functions of complete gauge fixings vanish
Golterman-Shamir construction	Golterman \& Shamir	non-Abelian gauge-fixed formulation
gauge field!interpolation	interpolation of the gauge field;smooth covariant interpolation	two-lattice ($f$, $b$) formulation
fermion measure!phase ambiguity	phase ambiguity;D \psi_{\text {left }};\operatorname{det} M[U]	Luscher phase definition
integrability condition	integrability condition;integrability is the requirement	for measure current / effective action
topology!lattice U(1) gauge fields	classification of all topologies of lattice U(1) gauge fields
symmetric mass generation	symmetric mass generation;Symmetric mass generation	see also mirror fermions
mirror fermions	mirror fermions;\mathcal{L}_{\text {mirror }};mirror sector	see also symmetric mass generation
Eichten-Preskill model	Eichten \& Preskill	also Smit-Swift mention
SU(5)@$SU(5)$ grand unified theory	SU(S) GUT;SU(5) fundamental	"SU(S) GUT" is a source typo for SU(5)
